t,u1,u2,u3,u4,Th,tau_x,tau_y,tau_z
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001000050002500125,0.05,-0.05,0.05,-0.05,0.0,0.0,0.0,0.0
0.00200010000500025,0.05,-0.05,0.05,-0.05,0.0,0.0,0.0,0.0
0.0030001500075003754,0.05,-0.05,0.05,-0.05,0.0,0.0,0.0,0.0
0.0040002000100005,0.05,-0.05,0.05,-0.05,0.0,0.0,0.0,0.0
0.005000250012500625,700.7845257517396,-704.728931134073,704.7289311340732,-700.7845257517396,23.2912576736472,0.0,-0.023109527230114734,0.0
0.006000300015000751,700.7845257517396,-704.728931134073,704.7289311340732,-700.7845257517396,23.2912576736472,0.0,-0.023109527230114734,0.0
0.0070003500175008756,700.7845257517396,-704.728931134073,704.7289311340732,-700.7845257517396,23.2912576736472,0.0,-0.023109527230114734,0.0
0.008000400020001,700.7845257517396,-704.728931134073,704.7289311340732,-700.7845257517396,23.2912576736472,0.0,-0.023109527230114734,0.0
0.009000450022501126,700.7845257517396,-704.728931134073,704.7289311340732,-700.7845257517396,23.2912576736472,0.0,-0.023109527230114734,0.0
0.01000050002500125,698.2753151958462,-707.1503592997373,707.1503592997374,-698.2753151958462,23.289093674677687,8.817319336689846e-22,-0.05199396206913653,4.888274042122273e-18
0.011000550027501376,698.2753151958462,-707.1503592997373,707.1503592997374,-698.2753151958462,23.289093674677687,8.817319336689846e-22,-0.05199396206913653,4.888274042122273e-18
0.012000600030001501,698.2753151958462,-707.1503592997373,707.1503592997374,-698.2753151958462,23.289093674677687,8.817319336689846e-22,-0.05199396206913653,4.888274042122273e-18
0.013000650032501625,698.2753151958462,-707.1503592997373,707.1503592997374,-698.2753151958462,23.289093674677687,8.817319336689846e-22,-0.05199396206913653,4.888274042122273e-18
0.014000700035001751,698.2753151958462,-707.1503592997373,707.1503592997374,-698.2753151958462,23.289093674677687,8.817319336689846e-22,-0.05199396206913653,4.888274042122273e-18
0.015000750037501875,695.7771091392952,-709.5446914671887,709.5446914671888,-695.7771091392952,23.28695749487895,-2.885284871842934e-17,-0.08065066927583739,7.674115912785036e-18
0.016000800040002,695.7771091392952,-709.5446914671887,709.5446914671888,-695.7771091392952,23.28695749487895,-2.885284871842934e-17,-0.08065066927583739,7.674115912785036e-18
0.017000850042502125,695.7771091392952,-709.5446914671887,709.5446914671888,-695.7771091392952,23.28695749487895,-2.885284871842934e-17,-0.08065066927583739,7.674115912785036e-18
0.018000900045002252,695.7771091392952,-709.5446914671887,709.5446914671888,-695.7771091392952,23.28695749487895,-2.885284871842934e-17,-0.08065066927583739,7.674115912785036e-18
0.019000950047502376,695.7771091392952,-709.5446914671887,709.5446914671888,-695.7771091392952,23.28695749487895,-2.885284871842934e-17,-0.08065066927583739,7.674115912785036e-18
0.0200010000500025,693.3020543809429,-711.9009433395995,711.9009433395996,-693.3020543809429,23.284864434582175,-4.214659508234188e-17,-0.10894331326428014,1.0537282384977732e-17
0.021001050052502628,693.3020543809429,-711.9009433395995,711.9009433395996,-693.3020543809429,23.284864434582175,-4.214659508234188e-17,-0.10894331326428014,1.0537282384977732e-17
0.02200110005500275,693.3020543809429,-711.9009433395995,711.9009433395996,-693.3020543809429,23.284864434582175,-4.214659508234188e-17,-0.10894331326428014,1.0537282384977732e-17
0.023001150057502875,693.3020543809429,-711.9009433395995,711.9009433395996,-693.3020543809429,23.284864434582175,-4.214659508234188e-17,-0.10894331326428014,1.0537282384977732e-17
0.024001200060003003,693.3020543809429,-711.9009433395995,711.9009433395996,-693.3020543809429,23.284864434582175,-4.214659508234188e-17,-0.10894331326428014,1.0537282384977732e-17
0.025001250062503127,690.8623106056303,-714.2086874598551,714.2086874598552,-690.8623106056303,23.282838643642332,-5.672149583552445e-17,-0.13673895963126825,1.2724113830005955e-17
0.02600130006500325,690.8623106056303,-714.2086874598551,714.2086874598552,-690.8623106056303,23.282838643642332,-5.672149583552445e-17,-0.13673895963126825,1.2724113830005955e-17
0.027001350067503375,690.8623106056303,-714.2086874598551,714.2086874598552,-690.8623106056303,23.282838643642332,-5.672149583552445e-17,-0.13673895963126825,1.2724113830005955e-17
0.028001400070003502,690.8623106056303,-714.2086874598551,714.2086874598552,-690.8623106056303,23.282838643642332,-5.672149583552445e-17,-0.13673895963126825,1.2724113830005955e-17
0.029001450072503626,690.8623106056303,-714.2086874598551,714.2086874598552,-690.8623106056303,23.282838643642332,-5.672149583552445e-17,-0.13673895963126825,1.2724113830005955e-17
0.03000150007500375,688.4699978952024,-716.4580941146318,716.4580941146318,-688.4699978952024,23.2809134803495,-7.740589532470212e-17,-0.1639086845262881,1.3649425243499217e-17
0.031001550077503878,688.4699978952024,-716.4580941146318,716.4580941146318,-688.4699978952024,23.2809134803495,-7.740589532470212e-17,-0.1639086845262881,1.3649425243499217e-17
0.032001600080004,688.4699978952024,-716.4580941146318,716.4580941146318,-688.4699978952024,23.2809134803495,-7.740589532470212e-17,-0.1639086845262881,1.3649425243499217e-17
0.03300165008250413,688.4699978952024,-716.4580941146318,716.4580941146318,-688.4699978952024,23.2809134803495,-7.740589532470212e-17,-0.1639086845262881,1.3649425243499217e-17
0.03400170008500425,688.4699978952024,-716.4580941146318,716.4580941146318,-688.4699978952024,23.2809134803495,-7.740589532470212e-17,-0.1639086845262881,1.3649425243499217e-17
0.03500175008750438,686.1371399238533,-718.639966348791,718.6399663487911,-686.1371399238533,23.27913169068526,-8.079794329525232e-17,-0.19032816459318222,1.170596833716319e-17
0.036001800090004504,686.1371399238533,-718.639966348791,718.6399663487911,-686.1371399238533,23.27913169068526,-8.079794329525232e-17,-0.19032816459318222,1.170596833716319e-17
0.037001850092504625,686.1371399238533,-718.639966348791,718.6399663487911,-686.1371399238533,23.27913169068526,-8.079794329525232e-17,-0.19032816459318222,1.170596833716319e-17
0.03800190009500475,686.1371399238533,-718.639966348791,718.6399663487911,-686.1371399238533,23.27913169068526,-8.079794329525232e-17,-0.19032816459318222,1.170596833716319e-17
0.03900195009750488,686.1371399238533,-718.639966348791,718.6399663487911,-686.1371399238533,23.27913169068526,-8.079794329525232e-17,-0.19032816459318222,1.170596833716319e-17
