t,pa_x,pa_y,pa_z,pa_{dx},pa_{dy},pa_{dz},pb_x,pb_y,pb_z,pb_{dx},pb_{dy},pb_{dz},pc_x,pc_y,pc_z,pc_{dx},pc_{dy},pc_{dz},pd_x,pd_y,pd_z,pd_{dx},pd_{dy},pd_{dz}
0.0,0.11905,0.12065,-1.7714,0.0,0.0,0.0,-0.11905,0.12065,-1.7714,0.0,0.0,0.0,-0.11905,-0.12065,-1.7714,0.0,0.0,0.0,0.11905,-0.12065,-1.7714,0.0,0.0,0.0
0.0010000333344444814,0.11905,0.12065,-1.7713950946730088,0.0,0.0,0.00981032696072782,-0.11905,0.12065,-1.7713950946730088,0.0,0.0,0.00981032696072782,-0.11905,-0.12065,-1.7713950946730088,0.0,0.0,0.00981032696072782,0.11905,-0.12065,-1.7713950946730088,0.0,0.0,0.00981032696072782
0.002000066668888963,0.11905,0.12065,-1.771380378692035,0.0,0.0,0.01962065392145564,-0.11905,0.12065,-1.771380378692035,0.0,0.0,0.01962065392145564,-0.11905,-0.12065,-1.771380378692035,0.0,0.0,0.01962065392145564,0.11905,-0.12065,-1.771380378692035,0.0,0.0,0.01962065392145564
0.003000100003333444,0.11905,0.12065,-1.7713558520570787,0.0,0.0,0.029430980882183457,-0.11905,0.12065,-1.7713558520570787,0.0,0.0,0.029430980882183457,-0.11905,-0.12065,-1.7713558520570787,0.0,0.0,0.029430980882183457,0.11905,-0.12065,-1.7713558520570787,0.0,0.0,0.029430980882183457
0.004000133337777926,0.11905,0.12065,-1.7713215147681398,0.0,0.0,0.03924130784291127,-0.11905,0.12065,-1.7713215147681398,0.0,0.0,0.03924130784291127,-0.11905,-0.12065,-1.7713215147681398,0.0,0.0,0.03924130784291127,0.11905,-0.12065,-1.7713215147681398,0.0,0.0,0.03924130784291127
0.005000166672222407,0.11905,0.12065,-1.7712773668252184,0.0,0.0,0.04905163480363908,-0.11905,0.12065,-1.7712773668252184,0.0,0.0,0.04905163480363908,-0.11905,-0.12065,-1.7712773668252184,0.0,0.0,0.04905163480363908,0.11905,-0.12065,-1.7712773668252184,0.0,0.0,0.04905163480363908
0.006000200006666888,0.11904992537880316,0.12065000000133827,-1.7712283252840004,-0.00014923689313653429,2.6764735034064198e-09,0.04902817817225756,-0.11905007462118417,0.12064999999862489,-1.7712284030050949,-0.00014923684239846467,-2.750129995104411e-09,0.04887274116461272,-0.11905007461843431,-0.1206500000013751,-1.7712284030051142,-0.00014923134286284843,-2.750129995041735e-09,0.04887274112574177,0.11904992538155301,-0.12064999999866172,-1.7712283252840197,-0.00014923139360091805,2.6764735034690956e-09,0.04902817813338661
0.00700023334111137,0.11904970151836762,0.12065000000535311,-1.771179307200317,-0.00029846747653898526,5.352936728765388e-09,0.04900472124859259,-0.11905029848142944,0.12064999999449955,-1.7711796180846953,-0.00029846707063442817,-5.500270198505667e-09,0.04869384723330314,-0.11905029847042999,-0.12065000000550044,-1.771179618084773,-0.000298456071563114,-5.500270198004259e-09,0.048693847155570284,0.11904970152936707,-0.12064999999464687,-1.7711793072003947,-0.0002984564774676711,5.352936729266796e-09,0.04900472117085974
0.008000266675555852,0.11904932842815781,0.12065000001204453,-1.7711303125746076,-0.0004476854418751938,8.029379398309807e-09,0.04898126374037285,-0.11905067157081477,0.12064999998762399,-1.7711310120644583,-0.00044768407194731383,-8.250430818180495e-09,0.04851495271744029,-0.11905067154606604,-0.12065000001237605,-1.7711310120646333,-0.0004476675733401388,-8.250430816488244e-09,0.04851495260086362,0.11904932845290654,-0.12064999998795552,-1.7711303125747824,-0.00044766894326801873,8.029379400002058e-09,0.048981263623796185
0.009000300010000333,0.11904880612394575,0.12065000002141242,-1.7710813414076023,-0.0005968844823411662,1.0705791235026187e-08,0.04895780535535129,-0.11905119387280697,0.12064999997799815,-1.7710825849451146,-0.00059688123510471,-1.1000622061272458e-08,0.04833605732478034,-0.11905119382880922,-0.1206500000220019,-1.7710825849454257,-0.0005968592369614291,-1.1000622057261196e-08,0.048336057169387006,0.1190488061679435,-0.12064999997858762,-1.7710813414079132,-0.0005968624841978854,1.0705791239037447e-08,0.04895780519995795
