t,x_uav,y_uav,z_uav,qx_uav,qy_uav,qz_uav,qw_uav,phi_uav,theta_uav,psi_uav,dx_uav,dy_uav,dz_uav,om_x_uav,om_y_uav,om_z_uav,x_gv,y_gv,z_gv,qx_gv,qy_gv,qz_gv,qw_gv,phi_gv,theta_gv,psi_gv,dx_gv,dy_gv,dz_gv,om_x_gv,om_y_gv,om_z_gv
0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010000333344444814,0.0,0.0,-1.9999950946730087,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00981032696072782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002000066668888963,0.0,0.0,-1.999980378692035,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01962065392145564,0.0,0.0,0.0,1.2500833375001851e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002500083336111204,0.0,0.0,0.0,0.0,3.5715476230160056e-05
0.003000100003333444,0.0,0.0,-1.9999558520570786,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.029430980882183457,0.0,0.0,0.0,5.00033335000074e-06,7.441468336645725e-14,0.0,0.0,0.0,1.785833339285979e-08,1.0,0.0,0.0,2.0464142650968197e-06,0.005000166672222408,0.0,0.0,0.0,0.0,7.143095246032011e-05
0.004000133337777926,0.0,0.0,-1.9999215147681397,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03924130784291127,0.0,0.0,0.0,1.125075003750165e-05,5.357857202384917e-13,0.0,0.0,0.0,5.357500017857935e-08,0.9999999999999987,0.0,0.0,6.139242795290459e-06,0.007500250008333613,0.0,0.0,0.0,0.0,0.00010714642869048019
0.005000166672222407,0.0,0.0,-1.9998773668252183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04905163480363908,0.0,0.0,0.0,2.0001333400002827e-05,1.964547640874464e-12,0.0,0.0,0.0,1.0715000035715855e-07,0.9999999999999943,0.0,0.0,1.227848559058092e-05,0.010000333344444818,0.0,0.0,0.0,0.0,0.00014286190492064025
0.006000200006666888,2.6929435356380315e-13,6.648522112194341e-20,-1.9998283641445451,4.02754838686074e-14,-1.6321103428302982e-07,5.698009663373147e-12,0.9999999999999867,4.615123919402461e-12,-1.870260686419012e-05,6.529438099188501e-10,1.0770763790370178e-09,2.6592443330357107e-16,0.048950459697713326,1.6109716122014675e-10,-0.0006528223756608852,2.2791278920754815e-08,3.125208343750402e-05,5.209027835651953e-12,0.0,0.0,0.0,1.7858333392859697e-07,0.9999999999999841,0.0,0.0,2.04641426509682e-05,0.012500416680556023,0.0,0.0,0.0,0.0,0.00017857738115080034
0.00700023334111137,4.3083222571218894e-12,1.063738160114687e-18,-1.9997794626423502,1.6110372296469668e-13,-6.528441371320759e-07,2.279203865914352e-11,0.999999999999787,1.8459421697300566e-11,-7.48104274694827e-05,2.6117752312853025e-09,8.616100852638005e-09,2.12741432375269e-15,0.04884928459179073,3.2220147216308006e-10,-0.0013056447513217703,4.558255786411688e-08,4.500300015000466e-05,1.1385446555067692e-11,0.0,0.0,0.0,2.6787500089289365e-07,0.9999999999999641,0.0,0.0,3.069621397645229e-05,0.015000500016667228,0.0,0.0,0.0,0.0,0.0002142928573809604
0.008000266675555852,2.1809755023945668e-11,5.38529205946044e-18,-1.999730662318634,3.62490079758999e-13,-1.4688993085467465e-06,5.128208700425822e-11,0.9999999999989213,4.1529671392822756e-11,-0.00016832346181587776,5.8764942389368e-09,2.907761863679134e-08,7.180335150271547e-15,0.048748109485887085,4.833200825516007e-10,-0.0019584671269826555,6.837383685269547e-08,6.125408353750365e-05,2.187791690973742e-11,0.0,0.0,0.0,3.7502500125004684e-07,0.9999999999999298,0.0,0.0,4.2974699567033214e-05,0.01750058335277843,0.0,0.0,0.0,0.0,0.00025000833361112047
0.009000300010000333,6.89262594487709e-11,1.702095264577854e-17,-1.9996819631733962,6.444434917024996e-13,-2.61137654852552e-06,9.116815472694345e-11,0.9999999999965905,7.38205031046996e-11,-0.00029924170990337524,1.044710079096154e-08,6.892064487437117e-08,1.702134533910664e-14,0.04864693438004346,6.444601421085377e-10,-0.0026112895026435406,9.116511590910386e-08,8.000533359999916e-05,3.833844487039561e-11,0.0,0.0,0.0,5.000333350000532e-07,0.999999999999875,0.0,0.0,5.729959942271095e-05,0.020000666688889633,0.0,0.0,0.0,0.0,0.00028572380984128045
